Kecamatan;Jumlah;K1;K4
Moyudan;413.0;413.0;337.0
Minggir;480.0;480.0;473.0
Seyegan;744.0;744.0;731.0
Godean;990.0;990.0;876.0
Gamping;1364.0;1364.0;1299.0
Mlati;1312.0;1312.0;1194.0
Depok;1661.0;1661.0;1557.0
Berbah;781.0;781.0;694.0
Prambanan;791.0;791.0;760.0
Kalasan;1172.0;1172.0;945.0
Ngemplak;859.0;859.0;829.0
Ngaglik;1343.0;1343.0;1305.0
Sleman;981.0;981.0;963.0
Tempel;763.0;763.0;697.0
Turi;547.0;547.0;493.0
Pakem;515.0;515.0;480.0
Cangkringan;490.0;490.0;454.0
Total;15206.0;15206.0;14087.0
